epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,250.278,0.54792,0.43854,1.06736,0.54886,0.7,0.58215,0.3755,1.50432,1.62223,2.22512,0.001436,0.001436,0.001436
96,252.691,0.56891,0.45087,1.06362,0.70964,0.9,0.71889,0.29176,1.43177,2.00957,2.14037,0.00143,0.00143,0.00143
97,255.192,0.49988,0.42031,1.07463,0.70928,0.73402,0.7874,0.30285,1.46542,2.05959,2.22406,0.001424,0.001424,0.001424
98,257.614,0.50111,0.41171,1.04462,0.53201,0.6,0.50825,0.37819,1.64242,1.89997,2.55215,0.001418,0.001418,0.001418
99,259.976,0.54349,0.41978,1.06914,0.58634,0.5,0.49928,0.3866,1.54562,1.68805,2.35194,0.001412,0.001412,0.001412
100,263.001,0.56961,0.46401,1.09141,0.77749,0.69897,0.63837,0.38908,1.52073,1.63519,2.57912,0.001406,0.001406,0.001406
101,265.753,0.51136,0.4109,1.03711,0.60867,0.6,0.56826,0.30214,1.56139,1.78303,2.65858,0.0014,0.0014,0.0014
102,268.36,0.49971,0.43989,1.07109,0.85825,0.8,0.84115,0.53817,1.35479,1.46018,2.31277,0.001394,0.001394,0.001394
103,270.754,0.52088,0.42739,1.05596,0.87354,0.9,0.94056,0.59389,1.13185,1.11894,1.97336,0.001388,0.001388,0.001388
104,273.213,0.54238,0.48006,1.07783,1,0.87575,0.97833,0.65132,1.00165,1.01783,2.00176,0.001382,0.001382,0.001382
105,276.436,0.52555,0.44696,1.06851,0.89421,1,0.98591,0.72455,0.84948,0.90952,1.81323,0.001376,0.001376,0.001376
106,279.335,0.52649,0.46415,1.06779,1,0.89317,0.98591,0.65329,1.0122,0.9287,2.07934,0.00137,0.00137,0.00137
107,281.617,0.54696,0.47704,1.09322,0.73662,0.9,0.89667,0.58196,1.0401,1.0591,2.11307,0.001364,0.001364,0.001364
